name,token_id,Full Chapter,Short Chapter,color
Padding,0,Technical,Technical,#2a52be
No event,1,Technical,Technical,#2a52be
Female,2,Sex,Sex,#bcbd22
Male,3,Sex,Sex,#bcbd22
BMI low,4,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
BMI mid,5,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
BMI high,6,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Smoking low,7,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Smoking mid,8,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Smoking high,9,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Alcohol low,10,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Alcohol mid,11,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Alcohol high,12,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Systolic Blood Pressure low,13,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Systolic Blood Pressure mid,14,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Systolic Blood Pressure high,15,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Diastolic Blood Pressure low,16,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Diastolic Blood Pressure mid,17,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Diastolic Blood Pressure high,18,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Fasting Plasma Glucose low,19,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Fasting Plasma Glucose mid,20,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
Fasting Plasma Glucose high,21,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd
A00 Cholera,22,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A01 Typhoid and paratyphoid fevers,23,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A02 Other salmonella infections,24,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A03 Shigellosis,25,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A04 Other bacterial intestinal infections,26,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
